ID,TIPO,AUTORE,CURATORE,TITOLO VOLUME/RIVISTA,TITOLO CONTRIBUTO SPECIFICO,PAGINE,EDITORE,LUOGO EDIZIONE,ANNO,SPECIFICHE EDIZIONE,NOTE GENERALI,URL TESTO ONLINE,,,,
M4,Monografia,,Puerari A.,"Museo Civico ""Ala Ponzone"", Cremona: raccolte artistiche ; terrecotte, sculture in marmo e in pietra, pavimenti in mosaico e in cotto, ferri battuti, miniature, tarsie, sculture in legno, terrecotte francesi, smalti, disegni",,,Libreria del Convegno,Cremona,1976,,,,,,,
AM4,Saggio in volume,Bosio P.,Venturelli P.,"Rinascimento cremasco: arti, maestri e botteghe tra XV e XVI secolo",La terracotta figurativa a Crema e nel cremasco tra persistenze tardo gotiche e innovazioni rinascimentali,59-67,Skira,Milano,2015,,,,,,,
AP5,Articolo in periodico,Bosio P.,,Monza illustrata: annuario di arti e culture a Monza e in Brianza,Terrecotte a Monza nella seconda metà del Quattrocento ,55-77,,,2014,,,,,,,
AP6,Articolo in periodico,Scansani M.,,Studi di Memofonte,"L’attività scultorea di Sperandio Savelli: marmi, terrecotte e committenze francescane",54-113,,,2019,23,,,,,,
AM5,Saggio in volume,Trombini K.,"Albertini Ottolenghi M.G., Basso L.",Terrecotte nel Ducato di Milano: artisti e cantieri del primo Rinascimento,"Stampi per terrecotte conservati nel Museo ""Ala Ponzone"" di Cremona ",341-356,ET,Milano,2013,,,,,,,
M5,Monografia,"Cirani E., Valenti C.",,La chiesa di San Francesco in Casalmaggiore: note di storia e di arte,,,Grafica Editoriale Pizzorni,Cremona,1986,,,,,,,
M6,Monografia,"Donzelli M.A., Bocchi U.",,I dipinti della chiesa di Santo Stefano in Casalmaggiore,,,Biblioteca A. E. Mortara,Casalmaggiore,1998,,,,,,,
AP7,Articolo in periodico,Facchi M.,,Bollettino d'arte,"Qualità e industria in Rinaldo de Staulis: il cantiere della Certosa di Pavia e la ""Madonna col bambino"" della Rocca di Soncino.",63-74,,,2020,45,,,,,,
M7,Monografia,"Merico S., Buschieri C.",,"Tesori di terracotta tra Oglio, Serio e Adda",,,Claudio Madoglio,Crema,2007,,,,,,,
M8,Tesi,Bernstein J.,,The architectural sculpture of the cloisters of the Certosa di Pavia,,,,,1972,,"New York University, PhD Thesis",,,,,
AM6,Saggio in volume,Scansani M.,"Moizi M., Spiriti A.",Scultori dello Stato di Milano (1395-1535),"Una medaglia, un’architettura e una terracotta: gli esordi di Sperandio Savelli nello Stato di Milano (1395-1535)",128-139,Mendrisio Academy Press,Mendrisio,2023,,,,,,,
M9,Monografia,Carubelli L.,,L'arte della terracotta a Cremona nella seconda metà del Quattrocento,,,Pizzorini,Cremona,1969,,,,,,,
AM7,Saggio in volume,Miscioscia A.,"Albertini Ottolenghi M.G., Basso L.",Terrecotte nel Ducato di Milano: artisti e cantieri del primo Rinascimento,Le terrecotte di Santa Maria in Bressanoro a Castelleone,357-368 ,ET,Milano,2013,,,,,,,
AP8,Articolo in periodico,Verga G.,,Bollettino d'arte,Una pietà di Guido Mazzoni nella parrocchiale di Palazzo Pignano,7-12,,,1933-1934,27,,,,,,
M10,Monografia,Supino I. B.,,La scultura in Bologna nel secolo XV: richerche e studi,,,Zanichelli,Bologna,1910,,,,,,,
AP9,Articolo in periodico,Schubring P.,,Zeitschrift für bildende Kunst,Niccolò da Bari,209-218,,,1904,XV,,,,,,
AP10,Articolo in periodico,Leca G.,,Rosario. Memorie domenicane,Un busto di S. Domenico in Bologna,558-564,,,1906,XXIII,,,,,,
AP11,Articolo in periodico,Fabriczy C. von,,Jahrbuch der königlich preussischen Kunstsammlungen,Niccolò dell'Arca. Chronologischer Prospekt samt Urkunden-belegen,"1-13, 36",,,1908,XXIX,,,,,,
AP12,Articolo in periodico,Poggi G.,,Rivista d'arte,Opere d'arte ignote o poco note: Un busto di S. Domenico di Nicolò dell’Arca,303-304,,,1909,VI,,,,,,
AP13,Articolo in periodico,Zucchini G.,,Rivista d’arte,Il rinvenimento di un'opera d'arte a Bologna,330-341,,,1932,XIV,,,,,,
M11,Monografia,Gnudi C.,,Niccolò dell'Arca,,,Einaudi,Torino,1942,,,,,,,
M12,Monografia,Gnudi C.,,San Domenico: la basilica e l'arca,,,Nuova Abes Editrice,Bologna,1957,,,,,,,
M13,Monografia,Gnudi C.,,Nuove ricerche su Niccolò dell'Arca,,,De Luca,Roma,1972,,,,,,,
AP14,Articolo in periodico,Toesca P.,,The Art Quarterly,On Niccolò dell'Arca,271-277,,,1956,XIX,,,,,,
AP15,Articolo in periodico,Alce V.,,Arte antica e moderna,Documenti per la data del busto di S. Domenico di Niccolò dell'Arca,406-407,,,1958,IV,,,,,,
AP16,Articolo in periodico,Belli d'Elia P.,,Commentari,Niccolò dell'Arca: aggiunte e precisazioni,52-61,,,1964,XV,,,,,,
AP17,Articolo in periodico,Beck J.,,The Art bulletin,Niccolò dell'Arca: a reexamination,335-344,,,1965,XLVII,,,,,,
AP18,Articolo in periodico,Sgarbi V.,,FMR,"Restauri e ritrovamenti, Bologna","37, 56-66",,,1985,IV,,,,,,
AM8,Saggio in volume,Agostini G.,"Agostini G., Ciammitti L.",Tre artisti nella Bologna dei Bentivoglio,Niccolò dell'Arca. Il Compianto sul Cristo di S. Maria della Vita,225-362,Nuova Alfa Editoriale,Bologna,1985,III,Terzo volume del catalogo della mostra tenuta alla Pinacoteca Nazionale di Bologna nel 1985,,,,,
M14,Monografia,,"Agostini G., Ciammitti L.",Niccolò dell'Arca: seminario di studi,,,Nuova Alfa Editoriale,Bologna,1989,,Atti del convegno tenuto a Bologna il 26 e 27 maggio 1987,,,,,
AM9,Saggio in volume,Fanti M.,"Agostini G., Ciammitti L.",Niccolò dell'Arca: seminario di studi,"Nuovi documenti e osservazioni sul ""compianto"" di Niccolò dell'Arca e la sua antica collocazione in S. Maria della Vita",59-83,Nuova Alfa Editoriale,Bologna,1989,,,,,,,
AM10,Saggio in volume,Ferretti M.,"Agostini G., Ciammitti L.",Niccolò dell'Arca: seminario di studi,"Per la ricostruzione e la cronologia del ""compianto"" di Santa Maria della Vita",85-108,Nuova Alfa Editoriale,Bologna,1989,,,,,,,
M15,Monografia,Lugli A.,,Guido Mazzoni e la rinascita della terracotta nel Quattrocento,,,Allemandi,Torino,1990,,,,,,,
AM11,Saggio in volume,Klebanoff R.,Wisch B.,"Confraternities and the visual arts in Renaissance Italy: ritual, spectacle, image","Passion, compassion, and the sorrows of women: Niccolò dell'Arca's «Lamentation over the Dead Christ» for the Bolognese Confraternity of S. Maria della Vita",146-172,Cambridge University Press,Cambridge,2000,,,,,,,
AM12,Saggio in volume,Beck J.,"Lenzi D., Matteucci Armandi A. M.",Arti a confronto: Studi in onore di Anna Maria Matteucci,"Meditations on Niccolò dell'Arca, between Jacopo della Quercia and Michelangelo",49-55,Editrice Compositori,Bologna,2002,,,,,,,
M16,Monografia,,Sgarbi V.,La scultura al tempo di Andrea Mantegna: tra classicismo e naturalismo,,,Electa,Milano,2006,,Catalogo della mostra tenuta a Mantova (Castello S. Giorgio e Palazzo S. Sebastiano) nel 2006-2007,,,,,
SC1,Scheda di catalogo,Galassi C.,Sgarbi V.,La scultura al tempo di Andrea Mantegna: tra classicismo e naturalismo,Niccolò dell'Arca. San Domenico,108-111,Electa,Milano,2006,,,,,,,
M17,Monografia,Reale G.,,"Il pianto della statua nelle sculture sacre in terracotta di Niccolò dell'Arca, Guido Mazzoni e Antonio Begarelli",,,Bompiani,Milano,2008,,,,,,,
M18,Monografia,Sgarbi V.,,Nicolò dell'Arca e il San Domenico ritrovato,,,Barile,Matera,2011,,,,,,,
M19,Monografia,,Di Natale R.,La collezione Cavallini Sgarbi: da Niccolò dell'Arca a Gaetano Previati: tesori d'arte per Ferrara,,,La Nave di Teseo,Milano,2018,,Catalogo della mostra tenuta al Castello Estense di Ferrara nel 2018,,,,,
M20,Monografia,,Di Natale R.,La collezione Cavallini Sgarbi: da Niccolò dell'Arca a Francesco Hayez,,,La Nave di Teseo,Milano,2019,,Catalogo della mostra tenuta al Castel Caldes di Trento nel 2019,,,,,
M21,Monografia,Spina L.,,San Domenico di Niccolò dell'Arca,,,5 Continents,Milano,2020,,,,,,,
M22,Monografia,Ciammitti L.,,L'Arca di Niccolò: riflessioni e documenti,,,Marsilio,Venezia,2022,,,,,,,
M23,Saggio in volume,Cova P.,,Tra la vita e la morte: due confraternite bolognesi tra Medioevo e età moderna,"Il ""Compianto"" di Niccolò dell'Arca in Santa Maria della Vita: riflessioni sulla funzione devozionale e sui suoi possibili riflessi formali",,"Cinisello Balsamo, Milano",Silvana Editoriale,2015,,,,,,,
M24,Monografia,Supino I. B.,,L'arte nelle chiese di Bologna: XV-XVI,,,Zanichelli,Bologna,1938,II,,,,,,
AP19,Articolo in periodico,Aldrovandi L.,,L'arte,Il sepolcro di S. Maria della Vita in Bologna e Niccolò dell'Arca,174-190,,,1899,II,,,,,,
AP20,Articolo in periodico,Bode W. ,,L'arte,Le opere di Niccolò dall'Arca,498-499,,,1899,II,,,,,,
M25,Monografia,Malaguzzi Valeri F.,,Bramante e Leonardo da Vinci ,,,Ulrico Hoepli,Milano,1915,,,,,,,
AP21,Articolo in periodico,Verga Bandirali M.,,Arte lombarda,Scheda per Agostino Fondulo scultore,29-41 ,,,1958,3,,,,,,
AM13,Saggio in volume,Miceli E.,"Benati D., Calogero G.",Arte e umanesimo a Bologna: materiali e nuove prospettive,"La retorica della ""Madonna di Piazza"" di Niccolò dell'Arca",83-88,Bononia University Press,Bologna,2019,,Atti del convegno tenuto a Bologna il 13 e 15 giugno 2018,,,,,
AM14,Saggio in volume,Marubbi M.,"Albertini Ottolenghi M.G., Basso L.",Terrecotte nel Ducato di Milano: artisti e cantieri del primo Rinascimento,Dalla plastica alla scultura monumentale: ipotesi cremasche per Giovanni e Agostino de Fondulis,369-378,ET,Milano,2013,,,,,,,
M26,Monografia,Silvestri Baffi R.,,Nicolò di Puglia: lo scultore dell'arca,,,Congedo,Galatina,1971,,,,,,,
AP22,Articolo in periodico,Del Bravo C.,,Paragone,Niccolò dell'Arca,26-40,,,1974,XXV,,,,,,
SC2,Scheda di catalogo,Petrucci F.,Sgarbi V.,La scultura al tempo di Andrea Mantegna: tra classicismo e naturalismo,Niccolò dell'Arca. Frammento di Madonna col Bambino,106-107,Electa,Milano,2006,,,,,,,
AP23,Articolo in periodico,Carubelli L.,,Contributi dell’Istituto di Storia dell’Arte Medioevale e Moderna,"Una ""Pietà"" di Agostino Fondulo nella chiesa di San Giacoma a Soncino",69-74,,,1996,I,,,,,,
AM15,Saggio in volume,Buganza S.,"Albertini Ottolenghi M.G., Basso L.",Terrecotte nel Ducato di Milano: artisti e cantieri del primo Rinascimento,La terracotta a Brescia tra Quattro e Cinquecento ,379-390,ET,Milano,2013,,,,,,,
AM16,Saggio in volume,Scansani M.,Ghizzi V.,Il tempio di San Sebastiano. Leon Battista Alberti e il nuovo linguaggio antico,Una svolta per la scultura mantovana in terracotta: le cinque statue di Via Frattini,117-147,Skira,Milano,2025,,,,,,,
M27,Monografia,"Galli A., Gentilini G.",,Niccolò dell’Arca: Santa Giuliana de' Banzi,,,omb2 Print,Munich,2016,,,,,,,
M28,Monografia,Pulini M.,,La parte muta. Incompiuto e frammento allo specchio dell'arte,,,Medusa edizioni,Milano,2006,,,,,,,
AP24,Articolo in periodico,Malaguzzi Valeri F.,,Repertorium für Kunstwissenschaft,Contributo alla storia della scultura bolognese,279-299,,,1899,XXII,,,,,,
AP25,Articolo in periodico,Malaguzzi Valeri F.,,Dedalo,Sculture del Rinascimento a Bologna,341-372,,,1922-1923,III,,,,,,
AM17,Saggio in volume,Facchi M.,,Le radici del futuro nei beni storici ed artistici. Narrazione dell’esperienza cremasca tra gli inlussi dei grandi avvicendamenti e la cronaca dell’interpretazione locale,Il rilievo miracoloso di Santa Maria della Croce a Crema: una terracotta seriale da un’invenzione rosselliniana,281-294,CEC,Cremona,2017,,Studi in memoria di don Carlo Mussi,,,,,
AP26,Articolo in periodico,Alpini C.,,Il Nuovo Torrazzo,Santa Maria della Croce. Una Madonna di Gian Cristoforo Romano?,8,,,1984,26 maggio,,,,,,
AP27,Articolo in periodico,Facchi M.,,Insula Fulcheria,Appunti sugli scambi artistici tra Crema e le città venete nel Quattrocento e segnalazioni di frammenti di rilievi rinascimentali in terracotta,313-322,,,2020,L,,,,,,
AM18,Saggio in volume,Nova A.,"Gregori M., Pirovano C.",I Campi e la cultura artistica cremonese del Cinquecento,Dall’arca alle esequie: aspetti della scultura a Cremona nel XVI secolo,409-430,Electa,Milano,1985,,"Catalogo della mostra (Cremona, Santa Maria della Pietà, 27 aprile 1985)",,,,,
M29,Monografia,Zaist G.,Panni A.M.,"Notizie istoriche de’ pittori, scultori ed architetti cremonesi",,,Bolis,Cremona,1976,II,,,,,,
AP28,Articolo in periodico,Caldara E.,,Solchi,Il Banco mediceo di Milano e Castiglione Olona un legame possibile,4-14,,,2003,1/2,,,,,,
AM19,Saggio in volume,"Barbieri A., Bosio P.","Albertini Ottolenghi M.G., Basso L.",Terrecotte nel Ducato di Milano: artisti e cantieri del primo Rinascimento,Il cantiere delle terrecotte nel Museo d’Arte Antica del Castello Sforzesco: attività di ricerca e primi risultati,195-239 ,ET,Milano,2013,,,,,,,
SC3,Scheda di catalogo,Galli A.,Bacchi A.,"A Taste for Sculpture VI. Marble, bronze, terracotta, ivory and wood (15th to 20th centuries)",Agostino de Fonduli. Testa all'antica,6-17,Brun Fine Art,London,2019,,,,,,,
M30,Monografia,Malaguzzi Valeri F.,,"La corte di Lodovico il Moro, la vita privata e l’arte a Milano nella seconda metà del quattrocento: 2 Bramante e Leonardo da Vinci ",,,Hoepli,Milano,1915,,,,,,,
AM20,Saggio in volume,Ferrari M.L.,,Studi bramanteschi,Il raggio di Bramante nel territorio cremonese: contributi ad Agostino de Fonduli,223-232,De Luca,Roma,1974,"atti del congresso internazionale ; Milano, Urbino, Roma, 1970",,,,,,
AP29,Articolo in periodico,Climi G.,,Sèvres. Revue de la Société des Amis du musée national de Céramique,Deux plaques en terre cuite attribuées à Agostino De’ Fondulis récemment redécouvertes dans les collections du musée national de Céramique à Sèvres,28-35,,,2017,26,,,,,,
AM21,Saggio in volume,Tombini K.,"Albertini Ottolenghi M.G., Basso L.",Terrecotte nel Ducato di Milano: artisti e cantieri del primo Rinascimento,"Stampi per terrecotte conservati nel Museo ""Ala Ponzone"" di Cremona",341-356,ET,Milano,2013,,,,,,,
AP30,Articolo in periodico,Mingardi C.,,Biblioteca 70,Le terrecotte ornamentali del sec. XV a Busseto,139-164,,,1975,4,,,,,,
AP31,Articolo in periodico,Malaguzzi Valeri F.,,Emporium,Le terrecotte bolognesi,282-292,,,1899,"X, 58",,,,,,
AP32,Articolo in periodico,Venturi A.,,Archivio storico dell'arte,Sperandio da Mantova,385-397,,,1888,II,,,,,,
AP33,Articolo in periodico,Venturi A.,,Archivio storico dell'arte,Sperandio da Mantova,229-234,,,1889,II,,,,,,
AP34,Articolo in periodico,Rubbiani A.,,Atti e memorie della Regia Deputazione di storia patria per le province di Romagna,"La tomba di Alessandro V in Bologna, opera di M. Sperandio da Mantova",57-68,,,1894,"3, XI",,,,,,
M31,Monografia,De Foville J.,,"Sperandio, sculpteur et médailleur mantouan",,,"Bibliothèque du ""Musée",Paris,1910,,,,,,,
AP35,Articolo in periodico,Mackowsky H.,,Jahrbuch der königlich preußischen Kunstsammlungen,Sperandio Mantovano,171-182,,,1898,XIX,,,,,,
M32,Monografia,Venturi A.,,Storia dell'arte italiana,,,Hoepli,Milano,1901-1940,,,,,,,
AP36,Articolo in periodico,Filippini F.,,Il Comune di Bologna,Nicolò Lamberti e il monumento di Alessandro V in Bologna,29-32,,,1929,XVI,,,,,,
AP37,Articolo in periodico,Danieli M.,,Il Santo,L'arca di papa Alessandro V nella chiesa di San Francesco in Bologna,283-286,,,2008,XLVIII,,,,,,
AP38,Articolo in periodico,Cantelli P.,,Il Santo,Il restauro dell'arca di Alessandro V,287-292,,,2008,XLVIII,,,,,,
AP39,Articolo in periodico,Malaguzzi Valeri F.,,Archivio storico dell'arte,La chiesa della Santa,72-87,,,1896,II,,,,,,
AP40,Articolo in periodico,Rubbiani A.,,Rassegna d'arte,La facciata della 'Santa' in Bologna,153-155,,,1905,V,,,,,,
M33,Monografia,Gottschewski A.,,Über die Porträts der Caterina Sforza und über den Bildhauer Vincenzo Onofri,,,J. H. Heitz,Strassburg,1908,,,,,,,
M34,Monografia,Sighinolfi L.,,L’architettura bentivolesca in Bologna e il Palazzo del Podestà,,,Beltrami,Bologna,1909,,,,,,,
AP41,Articolo in periodico,Forlai M.,,Strenna storica bolognese,La chiesa e il complesso conventuale del Corpus Domini di Bologna in età rinascimentale,313-340,,,1995,XLV,,,,,,
M35,Monografia,Cavallina A.,,Santuario del Corpus Domini detto 'Della Santa',,,Studio Costa,Bologna,1999,,,,,,,
AP42,Articolo in periodico,Scardino L.,,La Pianura,"""Ecce Homo!"": per un percorso iconografico nell'arte ferrarese tra il XV e il XX secolo",71-77,,,1994,II,,,,,,
AP43,Articolo in periodico,Bode W. ,,Jahrbuch der Preußischen Kunstsammlungen,Sperandio Mantovano,218-224,,,1898,XIX,,,,,,
M36,Monografia,Schottmüller F.,,"Die italienischen und spanischen Bildwerke der Renaissance und des Barocks in Marmor, Ton, Holz und Stuck, Königliche Museen zu Berlin",,,De Gruyter,Berlin,1913,,,,,,,
M37,Monografia,Schottmüller F.,,"Die Bildwerke in Stein, Holz, Ton und Wachs: mit den Abbildungen sämtlicher Bildwerke",,,Bildwerke des Kaiser-Friedrich-Museums,Berlin,1933,,,,,,,
AP44,Articolo in periodico,Weinberger M.,,Münchner Jahrbuch der bildenden Kunst,Sperandio und die Frage der Francia-Skulpturen,293-318,,,1930,VII,,,,,,
M38,Monografia,Valentiner W. R.,,Gothic and Renaissance sculptures in the collection of the Los Angeles County Museum: catalogue and guide,,,Los Angeles County Museum,Los Angeles,1951,,,,,,,
AM22,Saggio in volume,De Pisis F.,"Gentilini G., Scardino L.",Crocevia Estense: contributi per la storia della scultura a Ferrara nel XV secolo,"Terre cotte, stucchi e marmi dei secoli XV e XVI in Ferrara",303-340,Liberty House,Ferrara,2007,,,,,,,
AP45,Articolo in periodico,Bode W.,,Amtliche Berichte aus den Königlichen Kunstsammlungen,Geschenke für das Kaiser Friedrich Museum,292-312,,,1912,XXXIII,,,,,,
AP46,Articolo in periodico,Supino I. B.,,Atti e Memorie della Deputazione di Storia Patria per le province di Romagna,Una scultura ignorata di Niccolò dell'Arca,35-37,,,1913,III,,,,,,
SC3,Scheda di catalogo,Di Natale P.,Sgarbi V.,Domenico di Paris e la scultura a Ferrara nel Quattrocento,Domenico di Paris. Madonna col Bambino (I.2.5),76-77,Skira,Milano,2006,,,,,,,
AM23,Saggio in volume,Ferretti M.,Natale M.,Cosmè Tura e Francesco del Cossa: l’ arte a Ferrara nell’età di Borso d’Este,La scultura: un filo tra le opere in mostra,125-141,Ferrara Arte,Ferrara,2007,,,,,,,
M40,Monografia,Ferretti M.,,La scultura del Quattrocento,,,Edit Faenza,Faenza,2011,,"Il volume è il IV della serie Storie delle arti figurative a Faenza, I-IV, a cura di Ferretti M., Faenza 2006-2011",,,,,
M41,Monografia,,"Gentilini G., Lucidi D.",Terracotta: il disegnare degli scultori,,,Bacarelli & Botticelli,Firenze,2017,,,,,,,
M42,Monografia,,Fanti M.,Il Museo di San Petronio in Bologna,,,Ed. Studio Costa,Bologna,2003,,,,,,,
AM24,Saggio in volume,Grandi R.,"Agostini G., Ciammitti L.",Niccolò dell'Arca: seminario di studi,La scultura a Bologna nell'età di Niccolò,25-57,Nuova Alfa Editoriale,Bologna,1989,,,,,,,
M43,Monografia,Guidicini G.,,Cose notabili della città di Bologna,,,Tipografia delle Scienze di Giuseppe Vitali,Bologna,1872,,,,,,,
M44,Monografia,Gatti A.,,La fabbrica di San Petronio: Indagini storiche,,,Regia tipografia,Bologna,1889,,,,,,,
M45,Monografia,,,Le Chiese parrocchiali della Diocesi di Bologna ritratte e descritte,,,Litografia Marchi e Corty,Bologna,1884,,Il volume fa parte della serie della serie pubblicata a partire dal 1844 dalla Diocesi di Bologna,,,,,
AM25,Saggio in volume,Matteucci Armandi A.M.,Volpe C.,Il tempio di San Giacomo Maggiore in Bologna,Le sculture,73-82,Padri Agostiniani di San Giacomo Maggiore,Bologna,1967,,,,,,,
AP47,Articolo in periodico,Rubbiani A.,,Rassegna d'arte,Il Palazzo Bevilacqua in Bologna,1-16;,,,1908,VIII,,,,,,
M46,Monografia,Zucchini G.,,La Chiesa di Santa Maria di Galliera in Bologna,,,Comune,Bologna,1936,,,,,,,
AM26,Saggio in volume,Rubbini M.,"Poli M., Rubbini M.",La Chiesa di Santa Maria di Galliera,La Chiesa di Santa Maria di Galliera,9-85;,Costa,Bologna,2002,,,,,,,
AM27,Saggio in volume,Torresi A.P.,"Gentilini G., Scardino L.",Crocevia Estense: contributi per la storia della scultura a Ferrara nel XV secolo,Tre scultori per Ercole I,189-213,Liberty House,Ferrara,2007,,,,,,,
M47,Monografia,,Fanti M.; Roversi G.; Rivani G.,"Il restauro della Chiesa dello Spirito Santo, già Santa Maria dei Celestini",,,Banca popolare di Bologna e Ferrara,Bologna,1965,,,,,,,
AM28,Saggio in volume,Fanti M.,Fanti M.; Roversi G.; Rivani G.,"Il restauro della Chiesa dello Spirito Santo, già Santa Maria dei Celestini",La Chiesa di Santa Maria dei Celestini e la Compagnia dello Spirito Santo,19-20,Banca popolare di Bologna e Ferrara,Bologna,1965,,,,,,,
SC4,Scheda di catalogo,Lucidi D.,"Gentilini G., Lucidi D.",Terracotta: il disegnare degli scultori,n. 2,40-41,Bacarelli & Botticelli,Firenze,2017,,,,,,,
M48,Monografia,Campigli M.,,Luce e marmo Agostino di Duccio,,,Olschki,Firenze,1999,,,,,,,
AP48,Articolo in periodico,Fanti M.,,Arte a Bologna,«ANTONIVS·BAL·ANNVM·AGENS·XVIII». Spiegazione di una controversa epigrafe su un ritratto di Giovanni II Bentivoglio,261-268,,,2010-2011,,,,,,,
AP49,Articolo in periodico,Zucchini G.,,Comune di Bologna,Opere d'arte inedite,20-22,,,1934 (agosto),XII,,,,,,
AP50,Articolo in periodico,Zucchini G.,,Comune di Bologna,Opere d'arte inedite,29-46,,,1934 (novembre),XII,,,,,,
AP51,Articolo in periodico,Bellosi L.,,Prospettiva,Jacopo della Quercia e la scultura in terracotta,2-17;,,,2003,112,,,,,,
AP52,Articolo in periodico,Ferretti M.,,Il Giornale dell'Arte,A Bologna una terracotta sconosciuta: dalla penombra una Madonna di Jacopo,"107, 12",,,1993,10,,,,,,
AP53,Articolo in periodico,Ferretti M.,,Arte a Bologna,In margine ad una scultura quattrocentesca donata al Museo Medievale,57-63,,,1997,4,,,,,,
AP54,Articolo in periodico,Ferretti M.,,Arte a Bologna,Un nuovo momento bolognese di Jacopo della Quercia,9-57;,,,1999,5,,,,,,
AP55,Articolo in periodico,Galli A.,,Prospettiva,Uno scultore del Quattrocento tra le Apuane e la Bassa Padana: itinerari querceschi del Maestro del sepolcro Fava,106-124,,,1998,89-90,,,,,,
AP56,Articolo in periodico,Piccinini F.,,Ricerche di storia dell'arte,Uno scultore quercesco-donatelliano a Adria,99-103,,,1986,30,,,,,,
AM29,Saggio in volume,Marchi M.,Pigozzi M.,Graticola di Bologna (Lamo P.),Le terrecotte bolognesi nella Graticola,147-158,Clueb,Bologna,1996,,,,,,,
AP57,Articolo in periodico,Cerami D.,,Strenna storica bolognese,Gruppi plastici raffiguranti la Madonna col Bambino. Influssi e lasciti della tradizione rinascimentale toscana tra Le Mogne e Bologna,49-68,,,2014,LXIV,,,,,,
AP58,Articolo in periodico,Cerami D.,,Strenna storica bolognese,Donatello e la sua cerchia a Bologna. Aggiunte e precisazioni,99-112,,,2018,LXVIII,,,,,,
AP59,Articolo in periodico,Raule A.,,Strenna storica bolognese,I tabernacoli delle nostre vie,191-219,,,1957,VII,,,,,,
AM30,Saggio in volume,Tumidei S.,Masini C.,Gli splendori della vergogna. La Collezione Dei Dipinti Dell’Opera Pia Dei Vergognosi,Il patrimonio delle Opere Pie. Il conte Malaguzzi Valeri e il Museo Davia Bargellini,63-77,Nuova Alfa Editoriale,Bologna,1995,,Catalogo della mostra tenuta a Bologna 9 Novembre 1995 - 7 Gennaio 1996,,,,,
SC5,Scheda di catalogo,Neri Lusanna E.,"Neri Lusanna E., Faedo L.",Il Museo Bardini a Firenze. Le sculture,Madonna col Bambino. n. 178,249-250,Mondadori,Milano,1986,II,,,,,,
AM31,Saggio in volume,Donato G.,Villata E.,L'arte rinascimentale nel contesto,La riscoperta della terracotta nel Quattrocento e le tecniche di riproduzione seriale: un binomio dialettico,147-175,Jaca Book,Milano,2015,,,,,,,
AP60,Articolo in periodico,Galli A.,,Saggi e memorie di storia dell'arte,Calchi in stucco del primo Rinascimento: quattro Madonne della Fondazione Giorgio Cini,159-180,,,2003 (2004),27,,,,,,
AM32,Saggio in volume,D'Apuzzo M.,"Rovetta A., Sciolla G.C.","Francesco Malaguzzi Valeri (1867-1928): tra storiografia artistica, museo e tutela",Francesco Malaguzzi Valeri e la scultura del Rinascimento a Bologna: alcune precisazioni e il “caso” della donatelliana Madonna Grassi,73-88,Scalpendi,Segrate,2014,,"Atti del Convegno di Studi (Milano, 19 ottobre 2011; Bologna, 20-21 ottobre 2011)",,,,,
